Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD, Sales_Volume ,Sales_Classification,,,,
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low,,,,
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,"4,266.00",Low,,,,
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,"2,191.00",Low,,,,
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,"1,932.00",Low,,,,
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,"6,962.00",Low,,,,
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,"1,703.00",Low,,,,
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,"8,589.00",High,,,,
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,"2,011.00",Low,,,,
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,"1,564.00",Low,,,,
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low,,,,
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,"4,289.00",Low,,,,
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,"3,748.00",Low,,,,
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,"3,476.00",Low,,,,
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,"5,759.00",Low,,,,
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,"9,420.00",High,,,,
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,"9,797.00",High,,,,
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,"7,944.00",High,,,,
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,"6,709.00",Low,,,,
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,"4,823.00",Low,,,,
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,"1,048.00",Low,,,,
i8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,"9,545.00",High,,,,
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,"2,167.00",Low,,,,
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,"3,140.00",Low,,,,
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,"7,821.00",High,,,,
i8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,"2,085.00",Low,,,,
X3,2023,Europe,Red,Hybrid,Manual,3,12922,101473,"8,030.00",High,,,,
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,"5,409.00",Low,,,,
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,"4,367.00",Low,,,,
X3,2019,North America,Silver,Hybrid,Automatic,4,189804,119927,"1,472.00",Low,,,,
i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low,,,,
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,"7,218.00",High,,,,
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,"3,389.00",Low,,,,
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,"8,581.00",High,,,,
i8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,"1,431.00",Low,,,,
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,"2,775.00",Low,,,,
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,"4,601.00",Low,,,,
3 Series,2011,Middle East,Red,Hybrid,Automatic,4,22280,55612,"6,698.00",Low,,,,
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,"6,056.00",Low,,,,
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,"6,301.00",Low,,,,
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,"8,734.00",High,,,,
X1,2023,Middle East,Silver,Diesel,Manual,2,172729,85801,"8,644.00",High,,,,
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,"5,456.00",Low,,,,
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,"8,472.00",High,,,,
i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,"5,940.00",Low,,,,
7 Series,2023,Europe,Red,Electric,Manual,5,50602,83812,"2,241.00",Low,,,,
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,"8,663.00",High,,,,
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,"8,293.00",High,,,,
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,"8,445.00",High,,,,
i3,2023,North America,Silver,Electric,Manual,5,190643,36081,190,Low,,,,
7 Series,2017,Middle East,Grey,Petrol,Automatic,3,112754,93431,"7,462.00",High,,,,
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,"8,339.00",High,,,,
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,"4,055.00",Low,,,,
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,"3,683.00",Low,,,,
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,"1,180.00",Low,,,,
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,"9,100.00",High,,,,
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,"6,844.00",Low,,,,
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,"8,882.00",High,,,,
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,"2,914.00",Low,,,,
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,"4,548.00",Low,,,,
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low,,,,
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,"2,451.00",Low,,,,
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,"4,212.00",Low,,,,
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,"3,275.00",Low,,,,
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,"7,337.00",High,,,,
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,"8,345.00",High,,,,
X3,2022,Asia,Black,Diesel,Manual,4,160878,53997,"2,162.00",Low,,,,
i8,2010,North America,White,Electric,Automatic,2.5,75457,101282,"8,396.00",High,,,,
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,"1,299.00",Low,,,,
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,"3,880.00",Low,,,,
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,"5,637.00",Low,,,,
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,"8,394.00",High,,,,
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,"5,935.00",Low,,,,
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,"5,908.00",Low,,,,
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,"3,147.00",Low,,,,
M5,2017,Asia,Blue,Diesel,Manual,5,51891,103316,"1,732.00",Low,,,,
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low,,,,
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,"1,460.00",Low,,,,
M5,2012,Europe,Black,Electric,Manual,5,86899,56202,"3,235.00",Low,,,,
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,"7,139.00",High,,,,
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,"2,694.00",Low,,,,
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,"3,403.00",Low,,,,
i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,"8,216.00",High,,,,
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,"8,650.00",High,,,,
3 Series,2020,North America,Silver,Hybrid,Automatic,3,158046,78509,"8,070.00",High,,,,
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low,,,,
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,"6,353.00",Low,,,,
i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,"8,634.00",High,,,,
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,"1,684.00",Low,,,,
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,"5,312.00",Low,,,,
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,"7,059.00",High,,,,
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,"9,620.00",High,,,,
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,"8,157.00",High,,,,
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,"8,666.00",High,,,,
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,"2,600.00",Low,,,,
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,"9,334.00",High,,,,
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,"1,344.00",Low,,,,
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,"8,291.00",High,,,,
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,"7,553.00",High,,,,
M5,2023,Asia,Red,Electric,Manual,3,130509,94884,"9,645.00",High,,,,
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,"9,474.00",High,,,,
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,"8,000.00",High,,,,
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,"6,584.00",Low,,,,
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,"6,249.00",Low,,,,
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,"1,697.00",Low,,,,
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,"6,072.00",Low,,,,
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,"1,142.00",Low,,,,
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,"9,856.00",High,,,,
i3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,"7,607.00",High,,,,
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,"8,333.00",High,,,,
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,"3,877.00",Low,,,,
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,"4,956.00",Low,,,,
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,"5,598.00",Low,,,,
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,"6,791.00",Low,,,,
i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low,,,,
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,"8,217.00",High,,,,
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,"5,548.00",Low,,,,
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low,,,,
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,"6,447.00",Low,,,,
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,"6,673.00",Low,,,,
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,"8,127.00",High,,,,
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,"9,970.00",High,,,,
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,"9,832.00",High,,,,
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,"3,880.00",Low,,,,
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,"9,951.00",High,,,,
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,"7,403.00",High,,,,
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,"8,537.00",High,,,,
X3,2021,Europe,Blue,Hybrid,Manual,2,126258,32119,"4,249.00",Low,,,,
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low,,,,
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,"6,974.00",Low,,,,
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,"2,922.00",Low,,,,
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,"3,433.00",Low,,,,
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,"6,620.00",Low,,,,
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,"1,476.00",Low,,,,
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,"4,129.00",Low,,,,
i3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,"9,128.00",High,,,,
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,"3,507.00",Low,,,,
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,"9,106.00",High,,,,
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,"3,222.00",Low,,,,
X5,2016,Africa,White,Electric,Manual,3,146541,72024,"9,331.00",High,,,,
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,"5,761.00",Low,,,,
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,"6,920.00",Low,,,,
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,"6,897.00",Low,,,,
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,"5,139.00",Low,,,,
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,"1,396.00",Low,,,,
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low,,,,
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,"6,640.00",Low,,,,
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,"8,960.00",High,,,,
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,"5,542.00",Low,,,,
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,"7,342.00",High,,,,
X1,2021,South America,Grey,Diesel,Automatic,3,37616,79927,"1,057.00",Low,,,,
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,"7,431.00",High,,,,
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,"6,150.00",Low,,,,
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,"9,536.00",High,,,,
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,"5,141.00",Low,,,,
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,"1,659.00",Low,,,,
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,"4,699.00",Low,,,,
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,"6,588.00",Low,,,,
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,"1,474.00",Low,,,,
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,"2,428.00",Low,,,,
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,"5,065.00",Low,,,,
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,"9,087.00",High,,,,
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,"5,817.00",Low,,,,
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,"3,445.00",Low,,,,
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,"3,372.00",Low,,,,
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,"7,327.00",High,,,,
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low,,,,
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,"3,076.00",Low,,,,
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,"6,636.00",Low,,,,
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,"3,606.00",Low,,,,
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,"1,206.00",Low,,,,
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,"7,058.00",High,,,,
i8,2010,South America,Red,Hybrid,Automatic,2,49903,92666,"9,368.00",High,,,,
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,"2,069.00",Low,,,,
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,"6,121.00",Low,,,,
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,"9,792.00",High,,,,
X5,2023,North America,Blue,Hybrid,Manual,4,83959,43850,"9,612.00",High,,,,
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,"8,022.00",High,,,,
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,"3,205.00",Low,,,,
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low,,,,
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,"7,350.00",High,,,,
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,"3,581.00",Low,,,,
M5,2016,North America,Silver,Electric,Automatic,4,67272,78120,381,Low,,,,
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,"3,880.00",Low,,,,
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,"2,815.00",Low,,,,
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,"9,239.00",High,,,,
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,"1,036.00",Low,,,,
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,"5,315.00",Low,,,,
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,"2,976.00",Low,,,,
X3,2010,North America,Black,Electric,Manual,2,191879,50319,"1,311.00",Low,,,,
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,"5,952.00",Low,,,,
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,"3,778.00",Low,,,,
3 Series,2021,South America,Black,Electric,Automatic,2,162323,72641,"4,298.00",Low,,,,
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,"8,127.00",High,,,,
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,"8,772.00",High,,,,
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,"3,430.00",Low,,,,
i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,"8,483.00",High,,,,
7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,"6,825.00",Low,,,,
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,"9,134.00",High,,,,
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low,,,,
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,"5,236.00",Low,,,,
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,"2,466.00",Low,,,,
7 Series,2010,South America,Black,Petrol,Manual,4.3,52940,51743,"4,350.00",Low,,,,
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,"7,920.00",High,,,,
i8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,113,Low,,,,
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,"2,275.00",Low,,,,
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,"1,714.00",Low,,,,
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,"9,847.00",High,,,,
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,"4,182.00",Low,,,,
M5,2012,Asia,Black,Electric,Automatic,2,65212,48461,"3,244.00",Low,,,,
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,"6,461.00",Low,,,,
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,"9,520.00",High,,,,
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,"4,579.00",Low,,,,
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,"7,530.00",High,,,,
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,"9,850.00",High,,,,
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,"9,122.00",High,,,,
7 Series,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,"1,916.00",Low,,,,
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,"3,813.00",Low,,,,
i3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,"6,205.00",Low,,,,
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,"6,688.00",Low,,,,
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,"1,402.00",Low,,,,
5 Series,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,"8,273.00",High,,,,
M3,2014,Europe,White,Petrol,Manual,4,29746,103056,"7,577.00",High,,,,
M3,2010,Europe,Black,Hybrid,Manual,4,87426,60458,"9,098.00",High,,,,
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,"4,427.00",Low,,,,
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,"9,311.00",High,,,,
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,"3,182.00",Low,,,,
i3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,"5,797.00",Low,,,,
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low,,,,
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,"3,288.00",Low,,,,
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,"7,041.00",High,,,,
i8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,"5,284.00",Low,,,,
i8,2016,Europe,Blue,Petrol,Manual,4.5,191604,59627,"9,454.00",High,,,,
5 Series,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,"6,935.00",Low,,,,
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,"5,058.00",Low,,,,
3 Series,2020,South America,Grey,Diesel,Manual,4,175591,64007,"7,793.00",High,,,,
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,"2,353.00",Low,,,,
